siren;nom;nature;fiscalite;ptot;pmun;pcap;nb_com;insee;nom_com;ptot_com;pmun_com;pcap_com
200000164;CC du Pays de Pange;CC;4TX;12536;11881;655;17;57055;Bazoncourt;478;469;9
200000164;CC du Pays de Pange;CC;4TX;12536;11881;655;17;57145;Coincy;290;286;4
200000164;CC du Pays de Pange;CC;4TX;12536;11881;655;17;57148;Colligny;328;323;5
200000164;CC du Pays de Pange;CC;4TX;12536;11881;655;17;57155;Courcelles-Chaussy;3437;2893;544
200000164;CC du Pays de Pange;CC;4TX;12536;11881;655;17;57156;Courcelles-sur-Nied;901;895;6
200000164;CC du Pays de Pange;CC;4TX;12536;11881;655;17;57431;Maizeroy;287;286;1
200000164;CC du Pays de Pange;CC;4TX;12536;11881;655;17;57432;Maizery;128;127;1
200000164;CC du Pays de Pange;CC;4TX;12536;11881;655;17;57449;Marsilly;547;535;12
200000164;CC du Pays de Pange;CC;4TX;12536;11881;655;17;57482;Montoy-Flanville;1182;1162;20
200000164;CC du Pays de Pange;CC;4TX;12536;11881;655;17;57523;Ogy;561;555;6
200000164;CC du Pays de Pange;CC;4TX;12536;11881;655;17;57533;Pange;1023;1007;16
200000164;CC du Pays de Pange;CC;4TX;12536;11881;655;17;57563;Raville;190;187;3
200000164;CC du Pays de Pange;CC;4TX;12536;11881;655;17;57575;Retonfey;1380;1372;8
200000164;CC du Pays de Pange;CC;4TX;12536;11881;655;17;57627;Sanry-sur-Nied;345;343;2
200000164;CC du Pays de Pange;CC;4TX;12536;11881;655;17;57648;Servigny-lès-Raville;348;343;5
200000164;CC du Pays de Pange;CC;4TX;12536;11881;655;17;57654;Silly-sur-Nied;743;734;9
200000164;CC du Pays de Pange;CC;4TX;12536;11881;655;17;57656;Sorbey;368;364;4
200000172;CC Faucigny-Glières;CC;TPU;17781;17016;765;5;74024;Ayse;1857;1817;40
200000172;CC Faucigny-Glières;CC;TPU;17781;17016;765;5;74042;Bonneville;12125;11579;546
200000172;CC Faucigny-Glières;CC;TPU;17781;17016;765;5;74087;Contamine-sur-Arve;1499;1343;156
200000172;CC Faucigny-Glières;CC;TPU;17781;17016;765;5;74212;Le Petit-Bornand-les-Glières;985;976;9
200000172;CC Faucigny-Glières;CC;TPU;17781;17016;765;5;74312;Vougy;1315;1301;14
200000321;CC des deux Rives de la Seine;CC;TPU;62931;62260;671;6;78015;Andrésy;12621;12485;136
200000321;CC des deux Rives de la Seine;CC;TPU;62931;62260;671;6;78123;Carrières-sous-Poissy;13545;13472;73
